
Memstat for j721e r5f release build...

Library Name                            :         CODE         DATA          BSS
ti.transport.ndk.nimu.aer5f(r5f)        :         1090          942            0
udma.aer5f(mcu1_0)                      :        58892          744            0
udma.aer5f(mcu1_1)                      :        58892          744            0
udma.aer5f(mcu2_0)                      :        58894          744            0
udma.aer5f(mcu2_1)                      :        58894          744            0
udma.aer5f(mcu3_0)                      :        58894          744            0
udma.aer5f(mcu3_1)                      :        58894          744            0
vhwa.aer5f(mcu2_0)                      :        75296       692128       267648
vhwa.aer5f(mcu2_1)                      :        75296       692128       267648
---------------------------------------------------------------------------------
Total Size                              :      2447524      3861796      2046643
---------------------------------------------------------------------------------
